category,respondent_count,buyer_share,purchase_intent_mean,high_intent_share,median_acceptable_price,median_preorder_days,selection_share
亚克力制品,44,0.4318181818181818,3.227272727272727,0.4090909090909091,100.0,45.0,0.18106995884773663
装饰摆件,41,0.43902439024390244,3.1707317073170733,0.3170731707317073,150.0,45.0,0.16872427983539096
手办模玩,38,0.5263157894736842,3.236842105263158,0.39473684210526316,1000.0,45.0,0.15637860082304528
毛绒玩偶,34,0.5588235294117647,3.588235294117647,0.5588235294117647,200.0,45.0,0.13991769547325103
日用生活,34,0.5294117647058824,3.5294117647058822,0.47058823529411764,200.0,45.0,0.13991769547325103
吧唧（徽章）,32,0.40625,3.5625,0.5,50.0,45.0,0.13168724279835392
通行证,20,0.3,3.4,0.55,70.0,75.0,0.0823045267489712
