category,organic_sku_count,min_price,avg_price,max_price,sales_proxy_lower_bound,official_share_pct,fanmade_share_pct,presale_share_pct,free_shipping_rate_pct,return_insurance_rate_pct,fast_dispatch_rate_pct
毛绒玩偶,6,26.59,51.86,104.0,1086.0,50.0,0.0,16.67,83.33,16.67,66.67
通行证,4,3.9,8.17,15.0,689.0,25.0,0.0,0.0,50.0,50.0,75.0
吧唧（徽章）,4,106.0,132.5,212.0,400.0,100.0,0.0,100.0,75.0,0.0,0.0
手办模玩,3,4.83,14.21,18.9,298.0,0.0,0.0,0.0,100.0,66.67,66.67
亚克力制品,3,7.11,47.37,123.0,296.0,33.33,0.0,33.33,100.0,0.0,33.33
其他正版周边,2,28.41,83.7,139.0,200.0,50.0,0.0,0.0,100.0,100.0,0.0
日用生活,2,14.55,14.55,14.55,200.0,0.0,0.0,0.0,0.0,100.0,100.0
装饰摆件,2,18.0,22.3,26.59,182.0,0.0,0.0,0.0,100.0,50.0,50.0
