category,public_sku_count,sales_proxy_lower_bound,median_price,official_share,fanmade_share,evidence_layer,data_type
亚克力制品,4,9.0,14.4,0.0,0.25,taobao_category,real_public_snapshot
其他正版周边,4,15.0,14.120000000000001,0.0,1.0,taobao_category,real_public_snapshot
吧唧（徽章）,5,17.0,5.34,0.0,0.6,taobao_category,real_public_snapshot
日用生活,6,34.0,52.685,0.0,0.3333333333333333,taobao_category,real_public_snapshot
毛绒玩偶,10,136.0,56.56,0.1,0.4,taobao_category,real_public_snapshot
通行证,6,38.0,38.03,0.0,0.0,taobao_category,real_public_snapshot
