operator,scenario,scenario_score,scenario_rank,scenario_rank_best,scenario_rank_worst,scenario_rank_mean,scenario_rank_std,scenario_rank_range
赤刃明霄陈,commerce_led,71.60048426150121,8.0,8.0,17.0,11.2,4.086563348340509,9.0
能天使,commerce_led,71.45959443099274,9.0,9.0,19.0,12.2,4.147288270665544,10.0
焰狐龙梓兰,commerce_led,71.44471347861179,10.0,8.0,12.0,10.8,1.788854381999832,4.0
史尔特尔,commerce_led,70.98970944309929,11.0,4.0,26.0,14.0,8.031189202104505,22.0
玛恩纳,commerce_led,68.64482445520582,12.0,12.0,16.0,13.6,1.6733200530681511,4.0
凯尔希·思衡托,commerce_led,67.6617231638418,13.0,3.0,13.0,5.0,4.47213595499958,10.0
望,commerce_led,66.80266343825667,14.0,8.0,20.0,14.2,4.266145801540309,12.0
逻各斯,commerce_led,64.87136803874093,15.0,15.0,18.0,16.6,1.341640786499874,3.0
结城理,commerce_led,64.78450363196127,16.0,11.0,23.0,16.8,4.266145801540309,12.0
令,commerce_led,63.76891646489105,17.0,11.0,36.0,21.8,9.311283477587825,25.0
德克萨斯,commerce_led,63.70611380145279,18.0,8.0,39.0,23.4,11.458621208504974,31.0
棘刺,commerce_led,63.07203389830507,19.0,5.0,32.0,17.2,9.757048734120374,27.0
维娜·维多利亚,commerce_led,62.67473769168685,20.0,9.0,37.0,22.4,10.382677881933928,28.0
凯尔希,commerce_led,62.54766949152543,21.0,10.0,30.0,19.2,7.259476565152615,20.0
纯烬艾雅法拉,commerce_led,61.23405972558516,22.0,10.0,38.0,24.2,10.305338422390601,28.0
W,commerce_led,60.390625,23.0,22.0,24.0,23.0,0.7071067811865476,2.0
斩业星熊,commerce_led,59.85794995964487,24.0,13.0,29.0,21.8,6.058052492344384,16.0
Mon3tr,commerce_led,58.961259079903144,25.0,24.0,26.0,25.2,0.8366600265340757,2.0
泥岩,commerce_led,58.84155569007264,26.0,25.0,27.0,25.8,0.8366600265340756,2.0
死芒,commerce_led,57.72800645682001,27.0,15.0,30.0,24.6,5.941380311005179,15.0
荒芜拉普兰德,commerce_led,56.61423022598869,28.0,19.0,28.0,21.6,3.6469165057620936,9.0
酒神,commerce_led,56.41162227602906,29.0,7.0,34.0,24.2,10.52140675005011,27.0
重岳,commerce_led,56.290960451977405,30.0,28.0,31.0,29.6,1.1401754250991376,3.0
真言,commerce_led,53.978611783696536,31.0,21.0,32.0,28.6,4.505552130427524,11.0
归溟幽灵鲨,commerce_led,53.71630347054076,32.0,21.0,40.0,32.0,6.9641941385920605,19.0
幽灵鲨,commerce_led,51.49818401937046,33.0,20.0,51.0,34.4,11.036303729057115,31.0
温蒂,commerce_led,46.13347457627118,34.0,34.0,41.0,36.0,2.9154759474226504,7.0
银灰,commerce_led,45.88150726392252,35.0,27.0,41.0,34.0,5.0,14.0
斯卡蒂,commerce_led,45.78616828087167,36.0,33.0,44.0,37.2,4.086563348340509,11.0
司霆惊蛰,commerce_led,43.820419693301055,37.0,30.0,41.0,36.4,3.9749213828703587,11.0
