bvid,title,owner_mid,published_at,view,like,coin,favorite,share,reply,danmaku,content_type,source_url,collected_at,source_type,is_simulated
BV1rp4y1n7Ft,《明日方舟》EP - 观心,161775300,2021-02-24T02:30:14+00:00,1610078,140066,55845,42023,10687,7896,5182,music_ep,https://www.bilibili.com/video/BV1rp4y1n7Ft,2026-09-11T22:18:18+00:00,official_public_aggregate,False
BV1WL411a7hp,《明日方舟》EP -The cure,161775300,2023-05-03T02:52:48+00:00,988783,84463,26846,23199,3452,6620,1185,music_ep,https://www.bilibili.com/video/BV1WL411a7hp,2026-09-11T22:18:27+00:00,official_public_aggregate,False
BV1oW4y1N72d,《明日方舟》EP - Snowy Night,161775300,2022-12-24T09:00:00+00:00,1070943,113814,28477,21556,8900,2921,1551,music_ep,https://www.bilibili.com/video/BV1oW4y1N72d,2026-09-11T22:18:27+00:00,official_public_aggregate,False
BV1uT411N7Se,《明日方舟》EP - Stainless Heart,161775300,2022-10-11T02:00:00+00:00,952215,73328,22284,21538,6031,3515,1895,music_ep,https://www.bilibili.com/video/BV1uT411N7Se,2026-09-11T22:18:33+00:00,official_public_aggregate,False
BV1hw411D76A,《明日方舟》EP - Water Quench,161775300,2023-09-05T03:00:00+00:00,1221072,91054,28407,28394,5251,2978,3842,music_ep,https://www.bilibili.com/video/BV1hw411D76A,2026-09-11T22:18:41+00:00,official_public_aggregate,False
BV1SR4y1g7Br,《明日方舟》SideStory「将进酒」活动先导PV,161775300,2022-01-15T12:10:18+00:00,3104466,213733,112278,66465,70976,12973,18209,event_pv,https://www.bilibili.com/video/BV1SR4y1g7Br,2026-09-11T22:18:06+00:00,official_public_aggregate,False
BV1Fy411q79k,《明日方舟》SideStory「太阳甩在身后」活动先导PV,161775300,2024-07-27T11:45:00+00:00,1411877,84374,27798,19237,14596,3791,4600,event_pv,https://www.bilibili.com/video/BV1Fy411q79k,2026-09-11T22:17:54+00:00,official_public_aggregate,False
BV1qd4y1T7q4,《明日方舟》SideStory「理想城：长夏狂欢季」活动先导PV,161775300,2022-08-06T12:10:09+00:00,1266315,96082,27381,15720,8693,3308,8661,event_pv,https://www.bilibili.com/video/BV1qd4y1T7q4,2026-09-11T22:18:02+00:00,official_public_aggregate,False
BV1ag411h7Uq,《明日方舟》主题曲【淬火尘霾】概念pv,161775300,2022-10-11T03:00:00+00:00,1846782,113195,38523,21615,24819,6466,2397,other_pv,https://www.bilibili.com/video/BV1ag411h7Uq,2026-09-11T22:18:39+00:00,official_public_aggregate,False
BV17M4m197Yy,《明日方舟》EP - ONE BY ONE,161775300,2024-04-11T03:05:27+00:00,1064119,71865,19217,18714,4539,4393,2341,music_ep,https://www.bilibili.com/video/BV17M4m197Yy,2026-09-11T22:18:39+00:00,official_public_aggregate,False
BV1Wy4y1c7Ps,《明日方舟》EP - Lessing,161775300,2023-11-04T03:00:00+00:00,597388,49745,11480,13936,2529,2067,664,music_ep,https://www.bilibili.com/video/BV1Wy4y1c7Ps,2026-09-11T22:17:55+00:00,official_public_aggregate,False
BV1kP13BEErz,《明日方舟》EP - The Walk,161775300,2025-11-01T03:00:00+00:00,911087,86488,39434,27686,7799,9895,7014,music_ep,https://www.bilibili.com/video/BV1kP13BEErz,2026-09-11T22:18:43+00:00,official_public_aggregate,False
BV1zt4y1y7wf,《明日方舟》一周年纪念动画短片,161775300,2020-04-25T14:10:57+00:00,5387912,334529,224141,163105,38869,20193,45117,animation_brand,https://www.bilibili.com/video/BV1zt4y1y7wf,2026-09-11T22:18:42+00:00,official_public_aggregate,False
